tool.by;name;"cost for user";"cost 2 ";manufacturer;f8;f3;rating;f5;f7;f9;f10;enabled;url;title;description;keywords;anons
70;"Токарный станок номер РАЗ";38;;;;;;;;;;;;;;;"
"
536;"Станок распиловочный Энкор Корвет Эксперт 15-250";277;315;5814;ДС0026;;;;;;;;k15-250;"Станок распиловочный Энкор Корвет Эксперт 15-250";"Станок распиловочный Энкор Корвет Эксперт 15-250";"Станок распиловочный Энкор Корвет Эксперт 15-250";"
"
539;"Станок деревообрабатывающий универсальный Энкор Корвет-323";1800;2114;5814;;;4;;543,544;;;;k323;"Станок деревообрабатывающий универсальный Энкор Корвет-323";"Станок деревообрабатывающий универсальный Энкор Корвет-323";"Станок деревообрабатывающий универсальный Энкор Корвет-323";"
"
6252;"Сварочный инвертор МАСТЕР АСИ-170";57000;195;5813;"Sv-i1150
";;;;;;;;;;;;
39266;"Станок деревообрабатывающий БЕЛМАШ СДМ-2500 Мастер Практик-терминатор";22915;;ТАХИР;;;;;;;;;;;;;"
"
540;"Станок деревообрабатывающий универсальный Энкор Корвет-322";1056.25;1349;5814;;yes;5;;;;1000;;k322;"Станок деревообрабатывающий универсальный Энкор Корвет-322";"Станок деревообрабатывающий универсальный Энкор Корвет-322";"Станок деревообрабатывающий универсальный Энкор Корвет-322";"
"
541;"Станок деревообрабатывающий универсальный Энкор Корвет-321(цена действительна до 31 марта!)";1590;1620;5814;;;5;;;;;;k321;"Станок деревообрабатывающий универсальный Энкор Корвет-321";"Станок деревообрабатывающий универсальный Энкор Корвет-321";"Станок деревообрабатывающий универсальный Энкор Корвет-321";"
"
542;"Станок деревообрабатывающий универсальный Энкор Корвет-320 (Хит продаж!)";715;790;5814;;;5;;;;;;k320;"Станок деревообрабатывающий универсальный Энкор Корвет-320";"Станок деревообрабатывающий универсальный Энкор Корвет-320";"Станок деревообрабатывающий универсальный Энкор Корвет-320";"Чугуные столы, подвижная каретка
"
543;"Деревообрабатывающий станок Мастер-Универсал Р";512,269;590;5813;;;;;5661;;;;mu-r;"Деревообрабатывающий станок Мастер-Универсал Р";"Деревообрабатывающий станок Мастер-Универсал Р";"Деревообрабатывающий станок Мастер-Универсал Р";"Всё в одном за доступные деньги! 
"
546;"Деревообрабатывающий станок Мастер-Универсал 2500Е";343.558;415;5813;;yes;4;;;;;;mu2500e;"Деревообрабатывающий станок Мастер-Универсал 2500Е";"Деревообрабатывающий станок Мастер-Универсал 2500Е";"Деревообрабатывающий станок Мастер-Универсал 2500Е";"Встроенное электронное устройство, позволяет станку работать в сетях с напряжением от 160В. Возможность пиления, строгания, сверления, долбежника, выборки четверти.
"
547;"Станок деревообрабатывающий Калибр СЭДМ - 2300+Р";300000;999;5821;;;5;;;"Купить СТАНО ДЕРЕВООБРАБАТЫВАЮЩИЙ СЭДМ2200 Р в Минске (029)1305310";;;sedm2200r;"Деревообрабатывающий станок универсальный Калибр СЭДМ2300 Р в Минске +375291305310";"Комбинированный станок + рейсмус Калибр СЭДМ-2300+Р";"Комбинированный станок + рейсмус Калибр СЭДМ-2300+Р";"Станок электрический многофункциональный из литого чугуна с возможностью пиления, 
"
548;"Станок многофункциональный  Калибр СЭДМ - 2300 пр  (хит продаж!)";499;540;5821;;yes;5;;;"Деревообрабатывающий станок СЭДМ2300 пр в Минске +375291305310";;;sedm2300pr;"Деревообрабатывающий станок СЭДМ 2300 пр . Универсальный станок с 3 ножами на валу в Минске +375291305310";"Станок многофункциональный  Калибр СЭДМ - 2300 ПР";"Станок многофункциональный  Калибр СЭДМ - 2300 ПР";"3 ножа на валу. В отличии от бюджетной версии Мастер универсал все детали на порядок качественнее!
"
